2013; 2; 11; 6; 39; 21.88; -96.3| 4.3
2013; 2; 11; 7; 15; 13.58; -92.46| 4
2013; 2; 11; 17; 1; 15.82; -98.41| 4.1
2013; 2; 12; 0; 18; 15.4; -93.93| 4
2013; 2; 12; 6; 31; 17; -95.26| 4.2
2013; 2; 12; 17; 9; 17.18; -93.78| 4
2013; 2; 12; 19; 2; 17.58; -102.84| 4.1
2013; 2; 13; 0; 12; 17.99; -103.53| 4.1
2013; 2; 13; 21; 7; 16.31; -97.99| 4
2013; 2; 13; 22; 0; 15.64; -94.12| 4.6
2013; 2; 13; 23; 6; 18.71; -105.29| 4
2013; 2; 13; 23; 37; 16.3; -98.25| 4.1
2013; 2; 14; 1; 28; 16.48; -98.05| 4.1
2013; 2; 14; 2; 13; 18.62; -104.9| 4.2
2013; 2; 14; 5; 47; 25.86; -110.11| 4.4
2013; 2; 14; 21; 6; 16.25; -98.2| 4
2013; 2; 14; 23; 49; 17.35; -94.93| 4.2
2013; 2; 15; 5; 42; 17.15; -101.2| 4
2013; 2; 15; 17; 0; 16.87; -94.41| 4
2013; 2; 15; 18; 42; 17.37; -101.24| 4.1
2013; 2; 16; 7; 17; 14.61; -93.07| 4.1
2013; 2; 16; 15; 0; 15.4; -98.47| 4.1
2013; 2; 16; 17; 58; 16.01; -98.09| 4
2013; 2; 16; 18; 53; 15.97; -98.11| 4
2013; 2; 17; 13; 45; 16.82; -93.86| 4.1
2013; 2; 17; 17; 51; 17.91; -98.24| 4
2013; 2; 18; 8; 40; 16.2; -98.25| 4
2013; 2; 18; 20; 8; 15.64; -95.92| 4
2013; 2; 18; 20; 40; 17.11; -101.46| 4.2
2013; 2; 19; 14; 59; 15.87; -95.2| 4.2
2013; 2; 20; 0; 51; 17.05; -94.25| 4.1
2013; 2; 20; 1; 30; 17.07; -94.22| 4.2
2013; 2; 20; 15; 23; 18.6; -104.04| 5.6
2013; 2; 20; 17; 0; 15.49; -95.11| 4.2
2013; 2; 21; 3; 49; 14.13; -91.89| 4.5
2013; 2; 21; 10; 44; 16.23; -98.21| 4
2013; 2; 21; 11; 27; 14.06; -93.35| 4.7
2013; 2; 21; 13; 27; 16.72; -94.46| 4.3
2013; 2; 21; 23; 14; 18.25; -102.07| 4
2013; 2; 22; 0; 56; 15.76; -94.29| 4
2013; 2; 22; 20; 37; 16.59; -94.4| 4
2013; 2; 22; 20; 53; 17.52; -95.69| 4
2013; 2; 22; 22; 40; 32.21; -117.62| 4.1
2013; 2; 23; 1; 5; 14.14; -92.5| 4
2013; 2; 23; 2; 50; 17.31; -100.84| 4
2013; 2; 23; 4; 13; 14.17; -92.78| 4
2013; 2; 23; 5; 44; 18.17; -99.37| 4.1
2013; 2; 23; 10; 34; 17.05; -99.96| 4
2013; 2; 23; 16; 1; 13.82; -91.9| 4
2013; 2; 24; 2; 14; 14.35; -93.03| 4
2013; 2; 24; 2; 37; 15.04; -93.6| 4.1
2013; 2; 24; 12; 51; 13.87; -92.89| 4.1
2013; 2; 24; 12; 58; 15.96; -96.02| 4
2013; 2; 24; 19; 52; 14.07; -92.85| 4
2013; 2; 24; 20; 25; 17.29; -100.11| 4
2013; 2; 24; 22; 51; 18.04; -101.77| 4
2013; 2; 25; 0; 33; 15.09; -94.01| 4.1
2013; 2; 25; 1; 8; 14.06; -91.71| 4.4
2013; 2; 25; 6; 15; 17.03; -94.97| 4.2
2013; 2; 25; 7; 5; 13.75; -91.37| 4
2013; 2; 25; 10; 55; 14.04; -93.32| 4
2013; 2; 25; 16; 53; 31.16; -115.89| 4
2013; 2; 26; 5; 36; 15.54; -95.35| 4
2013; 2; 26; 6; 11; 18.18; -103.39| 4
2013; 2; 26; 9; 3; 16; -98.76| 4
2013; 2; 26; 10; 27; 14.06; -93.07| 4
2013; 2; 26; 11; 15; 14.1; -93.12| 4.1
2013; 2; 26; 14; 49; 16.96; -99.51| 4.1
2013; 2; 26; 23; 42; 17.22; -94.67| 4
2013; 2; 27; 17; 41; 15.85; -94.97| 4
2013; 3; 1; 6; 39; 15.51; -94.8| 4
2013; 3; 1; 23; 10; 17.04; -95.31| 4.2
2013; 3; 5; 0; 44; 15.08; -94.29| 4.1
2013; 3; 5; 21; 30; 16.65; -93.87| 4
2013; 3; 6; 8; 53; 14.36; -93.74| 4
2013; 3; 6; 16; 3; 15.97; -99.17| 4.5
2013; 3; 7; 20; 33; 15.8; -96.51| 4
2013; 3; 7; 22; 21; 17.49; -94.99| 4.1
2013; 3; 7; 22; 34; 15.42; -94.65| 4
2013; 3; 9; 5; 15; 16.44; -100.17| 4
2013; 3; 9; 6; 24; 17.37; -94.39| 4.1
2013; 3; 9; 21; 56; 24.07; -108.91| 4.2
2013; 3; 9; 22; 21; 17.17; -94.67| 4.2
2013; 3; 10; 5; 42; 16.32; -98.51| 4
2013; 3; 10; 19; 43; 16.1; -98.96| 4
2013; 3; 11; 1; 43; 18.41; -102.57| 4.3
2013; 3; 11; 6; 20; 17.04; -102.61| 4.1
2013; 3; 11; 21; 46; 15.77; -94.08| 4.9
2013; 3; 12; 13; 19; 15.98; -95.27| 4
2013; 3; 12; 21; 56; 15.87; -96.28| 4.1
2013; 3; 12; 22; 17; 16.97; -95.12| 4
2013; 3; 13; 13; 34; 13.42; -92.21| 4.3
2013; 3; 13; 15; 17; 17.82; -101.2| 4
2013; 3; 13; 18; 45; 18.52; -103.8| 4
2013; 3; 13; 20; 54; 18.37; -102.59| 4
2013; 3; 13; 22; 19; 15.41; -94.64| 4.3
2013; 3; 14; 22; 14; 15.42; -104.14| 4.5
2013; 3; 16; 4; 25; 16.67; -98.65| 4.6
2013; 3; 16; 18; 32; 16.65; -94.08| 4.2
2013; 3; 16; 23; 47; 17.15; -99.96| 4.1
2013; 3; 17; 6; 55; 14.35; -93.19| 4.1
2013; 3; 17; 21; 34; 16.27; -93.68| 4.1
2013; 3; 18; 13; 53; 15.41; -96.53| 4.1
2013; 3; 18; 17; 31; 16.48; -94.39| 4.2
