Year,Month,Day,Hour,Minute,Latitude,Longitude,Magnitude,Dangerous
2010,3,28,19,12,16.14,-98.83,4.2,0
2010,3,29,16,41,15.73,-94.95,4.1,0
2010,3,30,3,14,31.98,-113.59,4.8,0
2010,3,30,14,40,13.55,-91.97,4.3,0
2010,3,31,3,20,32.44,-115.18,4.3,0
2010,4,2,11,25,16.4,-99.53,4.1,0
2010,4,2,20,49,17.35,-100.2,4,0
2010,4,3,1,6,14.9,-93.98,4,0
2010,4,3,1,29,17.35,-100.93,4.2,0
2010,4,3,3,7,14,-91.51,4,0
2010,4,3,17,3,32.43,-115.35,4.2,0
2010,4,3,18,49,16.42,-95,4,0
2010,4,4,1,51,32.46,-115.33,4.1,0
2010,4,4,7,14,14.66,-94.44,4.7,0
2010,4,4,9,37,15.89,-97.47,4,0
2010,4,4,11,4,17.11,-94.65,4,0
2010,4,4,17,40,32.54,-115.36,7.2,1
2010,4,4,18,15,32.28,-114.98,4.6,0
2010,4,4,18,25,32.39,-115.45,4.5,0
2010,4,4,18,37,32.47,-115.53,4.2,0
2010,4,4,18,42,32.19,-115.58,4.1,0
2010,4,4,19,7,32.28,-115.96,4.9,0
2010,4,4,20,6,32.72,-115.12,4.3,0
2010,4,4,20,25,32.18,-115.08,4.6,0
2010,4,4,20,39,32.73,-115.14,4,0
2010,4,4,20,42,32.18,-115.28,4.1,0
2010,4,4,20,52,32.82,-115.79,4.2,0
2010,4,4,21,47,32.35,-115.28,4.1,0
2010,4,4,21,54,32.93,-115.31,4.2,0
2010,4,4,22,10,32.07,-114.5,4.2,0
2010,4,4,22,15,32.92,-115.59,4.6,0
2010,4,4,22,32,32.31,-115.14,4,0
2010,4,4,23,10,32.9,-114.69,4,0
2010,4,4,23,23,17.11,-101.22,4.1,0
2010,4,5,1,17,32.75,-115.79,4.1,0
2010,4,5,3,23,32.23,-115.2,4,0
2010,4,5,5,1,14.93,-91.74,4.4,0
2010,4,5,5,23,14.16,-91.6,4.3,0
2010,4,5,6,14,32.94,-116.29,5.1,1
2010,4,5,8,33,32.8,-115.73,5.1,1
2010,4,5,11,25,32.21,-115.22,4.2,0
2010,4,5,17,7,32.26,-114.8,4.2,0
2010,4,5,20,22,32.1,-114.99,4.4,0
2010,4,5,21,33,31.93,-114.93,4.5,0
2010,4,5,23,12,32.69,-115.81,4.5,0
2010,4,6,3,12,32,-114.82,4.6,0
2010,4,6,5,6,32.83,-115.85,4.3,0
2010,4,6,6,12,32.23,-114.7,4.5,0
2010,4,6,8,13,14.15,-92.58,4.7,0
2010,4,6,9,36,17.07,-100.85,4,0
2010,4,6,10,13,32.95,-116.08,4.1,0
2010,4,6,11,13,14.07,-92.09,4,0
2010,4,6,11,24,32.33,-115.24,4.2,0
2010,4,6,12,31,32.12,-115.09,4.5,0
2010,4,6,17,9,32.84,-116.01,4.6,0
2010,4,6,22,31,32.36,-115.1,4.3,0
2010,4,6,23,23,32.13,-114.01,4.2,0
2010,4,7,0,21,32.9,-115.97,4.6,0
2010,4,7,1,36,32.03,-114.88,4.5,0
2010,4,7,2,15,32.5,-115.55,4,0
2010,4,7,3,41,32.22,-115.25,4.4,0
2010,4,7,4,7,16.63,-100.4,4.1,0
2010,4,7,5,15,15.68,-95.52,4.4,0
2010,4,7,6,4,32.35,-115.32,4.2,0
2010,4,7,7,43,32.38,-115.11,4.5,0
2010,4,7,11,51,32.26,-114.91,4.3,0
2010,4,7,12,0,15.79,-94.11,4.4,0
2010,4,7,12,1,32.29,-115.18,4.3,0
2010,4,7,14,34,15.84,-95.48,4,0
2010,4,7,15,11,33.03,-115.75,4.4,0
2010,4,7,15,37,32.3,-115.18,4.5,0
2010,4,7,16,0,32.22,-115.32,4.6,0
2010,4,7,16,51,32.2,-115.23,4.5,0
2010,4,7,19,25,32.68,-115.16,4.6,0
2010,4,7,20,11,32.25,-115.18,4.1,0
2010,4,7,21,47,32.94,-115.74,4.6,0
2010,4,7,23,2,32.09,-114.84,4.7,0
2010,4,8,0,25,16.81,-95.26,4.5,0
2010,4,8,0,30,32.37,-114.8,4.2,0
2010,4,8,3,48,15.66,-95.32,4.2,0
2010,4,8,4,23,32.28,-115.02,4.3,0
2010,4,8,7,38,33.08,-115.77,4.4,0
2010,4,8,10,34,32.83,-114.76,4,0
2010,4,8,11,44,32.36,-115.28,5.3,1
2010,4,9,0,32,32.59,-114.77,4,0
2010,4,9,0,47,16.53,-99.51,4.3,0
2010,4,9,1,22,32.02,-114.87,4.3,0
2010,4,9,15,53,32.35,-115.29,4,0
2010,4,9,18,5,32.25,-115.18,5,1
2010,4,10,4,12,32.83,-115.67,4.3,0
2010,4,12,6,10,16.32,-92.89,4.5,0
2010,4,12,13,20,16.56,-96.54,4.2,0
2010,4,14,0,16,18,-101.75,4.9,0
2010,4,14,6,19,32.85,-115.74,4,0
2010,4,15,5,20,31.95,-113.47,4.2,0
2010,4,16,5,1,16.14,-98.41,5.1,1
2010,4,16,5,10,16.22,-98.35,4.3,0
2010,4,16,5,44,16.18,-98.4,4.3,0
2010,4,16,7,58,16.21,-98.38,4.3,0
2010,4,16,8,16,32.26,-115.18,4.5,0
2010,4,16,9,28,32.2,-115.11,4.5,0
2010,4,16,10,44,32.38,-115.17,4.4,0
2010,4,16,11,39,32.39,-115.15,4.5,0
2010,4,16,12,4,32.38,-115.05,4.1,0
2010,4,16,15,13,32.22,-115.09,4.5,0
2010,4,16,16,28,32.1,-115.64,4.3,0
2010,4,16,17,24,32.76,-114.75,4,0
2010,4,16,18,54,32.69,-115.67,4.6,0
2010,4,17,1,50,16.14,-98.35,4.2,0
2010,4,17,2,3,20.38,-98.96,4.1,0
2010,4,17,2,45,32.4,-115.43,4.4,0
2010,4,17,7,43,32.39,-115.5,4.2,0
2010,4,17,11,9,32.44,-115.14,4.7,0
2010,4,17,12,8,16.24,-98.43,4.1,0
2010,4,17,12,25,32.3,-115.29,4.1,0
2010,4,17,14,41,32.59,-115.45,4.5,0
2010,4,17,14,47,32.18,-115.1,4.4,0
2010,4,17,14,53,32.22,-115.15,4.2,0
2010,4,17,16,28,32.31,-115.33,4.1,0
2010,4,17,22,12,32.37,-115.19,4.3,0
2010,4,17,22,17,32.19,-115.05,4.1,0
2010,4,18,4,30,32.38,-115.32,4.3,0
2010,4,18,5,30,32.8,-115.89,4.2,0
2010,4,18,8,30,14.26,-92.52,5.5,1
2010,4,18,12,4,32.23,-115.16,4,0
2010,4,18,13,26,19.2,-97.4,4.1,0
2010,4,18,20,52,32.4,-115.34,4.3,0
2010,4,18,21,7,32.41,-115.3,4.3,0
2010,4,18,21,18,32.37,-115.28,4.2,0
2010,4,18,23,26,32.87,-115.8,4.5,0
2010,4,19,7,46,15.98,-97.67,4.5,0
2010,4,19,8,45,15.61,-94.83,4.2,0
2010,4,19,10,20,32.5,-115.51,4,0
2010,4,19,13,41,32.24,-115.24,4.1,0
2010,4,19,15,40,32.28,-115.07,4,0
2010,4,19,21,28,16.07,-98.34,5,1
2010,4,19,22,9,32.49,-115.12,4.4,0
2010,4,19,22,38,32.33,-115.01,4.2,0
2010,4,19,23,25,32.22,-115.11,4.2,0
2010,4,20,0,15,32.25,-115.27,4.1,0
2010,4,20,0,33,16.2,-98.33,4.4,0
2010,4,20,2,23,16.4,-99.58,4.1,0
2010,4,20,2,30,32.3,-115.1,4.1,0
2010,4,20,3,40,16.19,-98.35,4.1,0
2010,4,20,4,15,15.93,-97.67,4.2,0
2010,4,20,4,17,32.18,-115.24,4,0
2010,4,20,4,40,16.39,-93.99,4.3,0
2010,4,20,5,53,32.38,-115.7,4.3,0
2010,4,20,7,14,32.36,-115.7,4.1,0
2010,4,20,10,0,32.38,-115.58,4.1,0
2010,4,20,14,20,32.28,-115.31,4.7,0
2010,4,20,19,28,32.31,-115.15,4,0
2010,4,20,22,38,14.21,-92.54,4.5,0
2010,4,20,22,56,32.37,-115.14,4.1,0
2010,4,20,23,6,32.33,-115.21,4.1,0
2010,4,20,23,32,15.3,-93.89,4,0
2010,4,21,2,55,16.44,-98.15,4,0
2010,4,21,5,37,32.62,-115.51,4.6,0
2010,4,21,15,45,16.17,-97.61,4.2,0
2010,4,21,17,45,32.85,-115.64,4,0
2010,4,21,23,43,32.4,-115.28,4.1,0
2010,4,22,1,57,15.93,-94.14,4,0
2010,4,22,9,22,32.83,-115.72,4.3,0
